Tên,Năm ra mắt,Công nghệ xử lí hình ảnh,Giá (đ),Loại Tivi,Kích thước màn hình (inch),Độ phân giải,Tổng công suất loa (W),Tần số quét (Hz),Hãng sản xuất,Xuất xứ,Thời gian bảo hành (tháng)
Google Tivi Sony 4K 75 inch KD-75X77L,2023,"Tăng cường tương phản Dynamic Contrast Enhancer, HLG, HDR10, Màu sắc sống động Live Colour, Nâng cấp hình ảnh 4K X-Reality PRO, Chuyển động mượt Motionflow XR 200",27900000,Google Tivi,75,4k,20,60,Sony,Việt Nam,24
Google Tivi TCL 4K 58 inch 58P635,2022,"Sport Mode, Smart HDR, HLG, HDR10, Dải màu rộng Wide Color Gamut, Game Mode",9290000,Google Tivi,58,4k,20,60,Tcl,Việt Nam,24
Smart Tivi OLED LG 4K 65 inch 65C3PSA,2023,"Tối ưu hoá hình ảnh chơi game Game Optimizer, Tương phản hoàn hảo Perfect Black, Tăng độ sáng 20% Brightness Booster, HLG, HDR10, HDR Dynamic Tone Mapping Pro, Dolby Vision, Chế độ Self - Lighting OLED, Chế độ nhà làm phim FilmMaker Mode, Nâng cấp hình ảnh AI Super Upscaling 4K, Eye Comfort Display, Công nghệ điểm ảnh Pixel Dimming, Công nghệ AI Genre Selection, Chống xé hình G-Sync, Chống xé hình FreeSync, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ hình ảnh phù hợp nội dung, Chế độ game HGiG",54450000,Smart Tivi OLED,65,4k,40,120,Lg,Indonesia,36
Google Tivi LED Hisense 4K 43 inch 43A6500K,2023,"Pixel Tuning, HLG, HDR10+, Dolby Vision, 4K AI Upscaler, FilmMaker Mode, Auto Game Mode",8990000,Google Tivi,43,4k,20,60,Hisense,Thái Lan,24
Google Tivi QLED Toshiba 4K 55 inch 55M550LP,2022,"Wide Color Gamut, HDR10+, HDR Restoration, Dolby Vision, Công nghệ Ultra Essential PQ, Công nghệ Super Contrast Booster, Công nghệ màn hình chấm lượng tử Quantum Dot, Công nghệ Color Re-Master Pro, 4K Gradation Correction, 4K Fine Texture Restoration, 4K Brilliance Restoration, Tăng cường chuyển động MEMC, Công nghệ tinh chỉnh thông minh AI Picture Optimizer, Full Array Local Dimming, Auto Signal Booster, Auto Clean, 4K Digital Noise Reduction, Nâng cấp hình ảnh AI 4K Upscaling, Auto View Pro, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), FilmMaker Mode, Công nghệ giảm ánh sáng xanh, bảo vệ mắt iCare Blue",13790000,Google Tivi QLED,55,4k,49,60,Toshiba,Thái Lan,24
Smart Tivi QLED 4K 65 inch Samsung QA65Q80C,2023,"Đèn nền Direct Full Array 8X 96 vùng kiểm soát, Supreme UHD Dimming, Real Depth Enhancer, Quantum HDR+, Quantum Dot hiển thị 100% dải màu, Màu sắc chuẩn chứng nhận PANTONE, Chống xé hình FreeSync Premium Pro, Chuyển động mượt Motion Xcelerator Turbo+, Super Ultra Wide Game View & Game Bar, Góc nhìn rộng Wide Viewing Angle, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, Chế độ Game Motion Plus, Ambient Mode+",31900000,Smart Tivi QLED,65,4k,40,120,Samsung,Việt Nam,24
Google Tivi Sony 4K 75 inch KD-75X80K,2022,"Tăng cường màu sắc Triluminos Pro, HLG, HDR10, Dolby Vision, Kiểm soát đèn nền Direct LED Frame Dimming, Nâng cấp hình ảnh 4K X-Reality PRO, Chuyển động mượt Motionflow XR 200, Auto Mode",28900000,Google Tivi,75,4k,20,50,Sony,Malaysia,24
Google Tivi AQUA 4K 50 inch AQT50P750UG,2023,"Tăng cường chuyển động MEMC, HLG, HDR10, Dolby Vision, Dải màu rộng Wide Color Gamut",7990000,Google Tivi,50,4k,20,60,Aqua,Indonesia,24
Smart Tivi QLED 4K 75 inch Samsung QA75Q65A,2021,"Supreme UHD Dimming, Quantum HDR, Quantum Dot hiển thị 100% dải màu, HDR10+, Brightness/Color Detection, Chuyển động mượt Motion Xcelerator Turbo, Super Ultra Wide Game View & Game Bar, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Ambient Mode",23900000,Smart Tivi QLED,75,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Samsung 4K Crystal UHD 50 inch UA50AU8100,2021,"Nâng cấp độ tương phản Contrast Enhancer, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Chuyển động ảnh mượt mà Auto Motion Plus, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Ambient Mode",10000000,Smart Tivi,50,4k,20,60,Samsung,Việt Nam,24
Smart Tivi QLED 4K 55 inch Samsung QA55Q70C,2023,"Super Ultra Wide Game View & Game Bar, Quantum HDR, Quantum Dot hiển thị 100% dải màu, Màu sắc chuẩn chứng nhận PANTONE, HDR10+, Dual LED, Công nghệ kiểm soát đèn nền Ultimate UHD Dimming, Chống xé hình FreeSync Premium Pro, Chuyển động mượt Motion Xcelerator Turbo+, Góc nhìn rộng Wide Viewing Angle, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, Chế độ Game Motion Plus, Ambient Mode+",21900000,Smart Tivi QLED,55,4k,20,120,Samsung,Việt Nam,24
Google Tivi Sony 4K 55 inch KD-55X85L,2023,"Đồng bộ khung hình/tần số quét chơi game VRR, X-tended Dynamic Range, Tăng cường tương phản Dynamic Contrast Enhancer, HLG, HDR10, Dolby Vision, Tăng cường màu sắc Triluminos Pro, Nâng cấp hình ảnh 4K X-Reality PRO, Tính năng chơi game 4K 120fps, Tinh năng Game Menu, Làm mượt chuyển động X - Motion Clarity, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",20890000,Google Tivi,55,4k,20,120,Sony,Malaysia,24
Smart Tivi Samsung 4K Crystal UHD 85 inch UA85BU8000,2022,"Nâng cấp độ tương phản Contrast Enhancer, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",40900000,Smart Tivi,85,4k,20,60,Samsung,Việt Nam,24
Smart Tivi QLED 4K 75 inch Samsung QA75Q70C,2023,"Super Ultra Wide Game View & Game Bar, Quantum HDR, Quantum Dot hiển thị 100% dải màu, Màu sắc chuẩn chứng nhận PANTONE, Dual LED, Công nghệ kiểm soát đèn nền Ultimate UHD Dimming, Chống xé hình FreeSync Premium Pro, Chuyển động mượt Motion Xcelerator Turbo+, Góc nhìn rộng Wide Viewing Angle, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, Chế độ Game Motion Plus, Ambient Mode+",39900000,Smart Tivi QLED,75,4k,20,120,Samsung,Việt Nam,24
Smart Tivi LG 4K 65 inch 65UR9050PSK,2023,"Tương thích HEVC, HLG, HDR10 Pro, HDR Dynamic Tone Mapping, Chế độ nhà làm phim FilmMaker Mode, Kiểm soát đèn nền - Local Dimming, Nâng cấp độ phân giải 4K AI Upscaling, Tương thích bộ mã hóa Video decoder (VP9, AV1), Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ hình ảnh phù hợp nội dung, Chế độ game HGiG",18270000,Smart Tivi,65,4k,20,60,Lg,Indonesia,24
Google Tivi Sony 4K 65 inch KD-65X85L,2023,"Đồng bộ khung hình/tần số quét chơi game VRR, X-tended Dynamic Range, Tăng cường tương phản Dynamic Contrast Enhancer, HLG, HDR10, Dolby Vision, Tăng cường màu sắc Triluminos Pro, Nâng cấp hình ảnh 4K X-Reality PRO, Tính năng chơi game 4K 120fps, Tinh năng Game Menu, Làm mượt chuyển động X - Motion Clarity, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",25890000,Google Tivi,65,4k,20,120,Sony,Malaysia,24
Google TV QD-Mini LED TCL 4K 98C755,2023,"VRR 144Hz, HLG, HDR10+, Dolby Vision IQ, Công nghệ màn hình chấm lượng tử Quantum Dot, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Low Blue Light, Full Array Local Dimming, Game Master, Chống xé hình FreeSync Premium Pro, Tương thích chuẩn IMAX Enhanced, Công nghệ 240 Hz DLG",79990000,Google Tivi,98,4k,60,144,Tcl,Việt Nam,12
Smart Tivi Samsung 32 inch UA32T4500,2020,"Độ tương phản cao - Mega Contrast, HDR, Chế độ hình ảnh tự nhiên Natural Mode, Lọc nhiễu hình ảnh Ultra Clean View, Kiểm soát đèn nền Micro Dimming Pro, Khử nhiễu hình ảnh Digital Clean View, PurColor, Nâng cấp độ tương phản Contrast Enhancer, Hyper Real Engine, Chế độ phim Film mode",6900000,Smart Tivi,32,HD,20,50,Samsung,Việt Nam,12
Google Tivi TCL 4K 55 inch 55P737,2022,"Tăng cường chuyển động MEMC 60Hz, HDR10, Dolby Vision, Dải màu rộng Wide Color Gamut, Kiểm soát đèn nền Micro Dimming",9990000,Google Tivi,55,4k,19,60,Tcl,Việt Nam,24
Smart Tivi Samsung 4K Crystal UHD 50 inch UA50BU8500,2022,"Super Ultra Wide Game View & Game Bar, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Chống xé hình FreeSync, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",13900000,Smart Tivi,50,4k,20,60,Samsung,Việt Nam,24
Google Tivi Sony 4K 55 inch XR-55X90L,2023,"Tăng cường tương phản XR Contrast Booster 10, HLG, HDR10, Dolby Vision, Tăng cường màu sắc XR Triluminos Pro, Nâng cấp độ phân giải XR 4K Upscaling, Làm mượt chuyển động XR Motion Clarity, Giảm nhiễu XR Clear Image, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",26890000,Google Tivi,55,4k,30,120,Sony,Malaysia,24
Google Tivi Sony 4K 65 inch XR-65X90L,2023,"Đồng bộ khung hình/tần số quét chơi game VRR, Tăng cường tương phản XR Contrast Booster 10, HLG, HDR10, Dolby Vision, Tăng cường màu sắc XR Triluminos Pro, Nâng cấp độ phân giải XR 4K Upscaling, Tính năng chơi game 4K 120fps, Tinh năng Game Menu, Làm mượt chuyển động XR Motion Clarity, Giảm nhiễu XR Clear Image, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",32890000,Google Tivi,65,4k,30,120,Sony,Malaysia,24
Smart Tivi Neo QLED 4K 55 inch Samsung QA55QN90A,2021,"Super Ultra Wide Game View & Game Bar, Quantum Mini LED, Quantum HDR 32X, Quantum Dot hiển thị 100% dải màu, HDR10+, Cân chỉnh màu sắc Expert Calibration, Adaptive Picture, Kiểm soát đèn nền Micro Full Array, Công nghệ kiểm soát đèn nền Ultimate UHD Dimming, Công nghệ kiểm soát đèn nền Quantum Matrix, Chống chói Anti Reflection, Chống xé hình FreeSync Premium Pro, Chuyển động mượt Motion Xcelerator Turbo+, Góc nhìn siêu rộng Ultra Viewing Angle, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ Game Motion Plus, Ambient Mode+",32900000,Smart Tivi Neo QLED,55,4k,60,120,Samsung,Việt Nam,24
Smart Tivi QLED 4K 43 inch Samsung QA43Q65A,2021,"Supreme UHD Dimming, Quantum HDR, Quantum Dot hiển thị 100% dải màu, HDR10+, Brightness/Color Detection, Chuyển động mượt Motion Xcelerator Turbo, Super Ultra Wide Game View & Game Bar, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Ambient Mode",9700000,Smart Tivi QLED,43,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Samsung 4K Crystal UHD 75 inch UA75BU8000,2022,"Nâng cấp độ tương phản Contrast Enhancer, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",23900000,Smart Tivi,75,4k,20,60,Samsung,Việt Nam,24
Smart Tivi QLED 4K 75 inch Samsung QA75Q60B,2022,"Supreme UHD Dimming, Quantum HDR, Quantum Dot hiển thị 100% dải màu, Brightness/Color Detection, Dual LED, Chuyển động mượt Motion Xcelerator",28900000,Smart Tivi QLED,75,4k,20,60,Samsung,Việt Nam,24
Smart Tivi QLED 4K 50 inch Samsung QA50Q60B,2022,"Supreme UHD Dimming, Quantum HDR, Quantum Dot hiển thị 100% dải màu, Brightness/Color Detection, Dual LED, Chuyển động mượt Motion Xcelerator",14400000,Smart Tivi QLED,50,4k,20,60,Samsung,Việt Nam,24
Smart Tivi OLED LG 4K 42 inch 42C2PSA,2022,"Tương thích HEVC, Tương phản hoàn hảo Perfect Black, Tăng độ sáng 20% Brightness Booster, HLG, HDR10 Pro, HDR Dynamic Tone Mapping Pro, HDR Dolby Vision, HDR, Dolby Vision IQ, Cinema HDR, Chế độ nhà làm phim FilmMaker Mode, Dải màu siêu rộng Perfect Color, Công nghệ điểm ảnh Pixel Dimming, Nâng cấp độ phân giải 4K AI Upscaling, Nâng cấp hình ảnh AI Picture Pro 4K, Chống xé hình G-Sync, Chống xé hình FreeSync, Chuyển động mượt OLED Motion, Tương thích bộ mã hóa Video decoder (VP9, AV1), Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ hình ảnh phù hợp nội dung, Chế độ game HGiG",31530000,Smart Tivi OLED,42,4k,20,120,Lg,Indonesia,24
Smart Tivi Samsung 4K 50 inch UA50AU7002,2022,"PurColor, HDR10+, Kiểm soát đèn nền UHD Dimming, Nâng cấp độ tương phản Contrast Enhancer, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",9400000,Smart Tivi,50,4k,20,50,Samsung,Việt Nam,24
Smart Tivi Samsung 43 inch UA43T6500,2020,"Độ tương phản cao - Mega Contrast, HDR, Chế độ hình ảnh tự nhiên Natural Mode, Lọc nhiễu hình ảnh Ultra Clean View, Kiểm soát đèn nền Micro Dimming Pro, Khử nhiễu hình ảnh Digital Clean View, PurColor, Nâng cấp độ tương phản Contrast Enhancer, Hyper Real Engine, Chế độ phim Film mode",8400000,Smart Tivi,43,Full HD,20,50,Samsung,Việt Nam,12
Android Tivi Sony 4K 65 inch XR-65X95J,2021,"X - Anti Reflection, Tăng cường tương phản XR Contrast Booster 10, HLG, HDR10, Dolby Vision, Kiểm soát đèn nền - Local Dimming, Tăng cường màu sắc XR Triluminos Pro, Tái tạo chi tiết hình ảnh XR Super Resolution, Nâng cấp độ phân giải XR 4K Upscaling, Làm mượt chuyển động XR Motion Clarity, Góc nhìn rộng X-Wide Angle, Auto Mode",35890000,Android Tivi,65,4k,50,100,Sony,Malaysia,24
Google Tivi TCL 4K 50 inch 50P737,2022,"Tăng cường chuyển động MEMC 60Hz, HDR10, Dolby Vision, Dải màu rộng Wide Color Gamut, Kiểm soát đèn nền Micro Dimming",8990000,Google Tivi,50,4k,19,60,Tcl,Việt Nam,24
Smart Tivi QLED 4K 65 inch Samsung QA65Q80B,2022,"Đèn nền Direct Full Array 8X 96 vùng kiểm soát, Supreme UHD Dimming, Quantum HDR 12X, Quantum Dot hiển thị 100% dải màu, Adaptive Picture, Dual LED, Nâng cấp độ tương phản Contrast Enhancer, Chống xé hình FreeSync Premium Pro, Chuyển động mượt Motion Xcelerator Turbo+, Super Ultra Wide Game View & Game Bar, Góc nhìn rộng Wide Viewing Angle, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, Chế độ Game Motion Plus",27900000,Smart Tivi QLED,65,4k,60,120,Samsung,Việt Nam,24
Android Tivi Casper 4K 55 inch 55UGA610,2022,HDR10,7990000,Android Tivi,55,4k,16,60,Casper,Việt Nam,24
Google Tivi Sony 4K 85 inch KD-85X80L,2023,"Tăng cường màu sắc Triluminos Pro, HLG, HDR10, Dolby Vision, Nâng cấp hình ảnh 4K X-Reality PRO, Tinh năng Game Menu, Làm mượt chuyển động XR Motion Clarity, Chuyển động mượt Motionflow XR 200, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",44890000,Google Tivi,85,4k,20,60,Sony,Malaysia,24
Google Tivi TCL 4K 75 inch 75P737,2022,"Tăng cường chuyển động MEMC 60Hz, HDR10, Dolby Vision, Dải màu rộng Wide Color Gamut, Kiểm soát đèn nền Micro Dimming",16990000,Google Tivi,75,4k,30,60,Tcl,Việt Nam,24
Google Tivi LED Hisense 4K 55 inch 55A6500K,2023,"Pixel Tuning, HLG, HDR10+, Dolby Vision, 4K AI Upscaler, FilmMaker Mode, Auto Game Mode",9990000,Google Tivi,55,4k,20,60,Hisense,Thái Lan,24
Google TV TCL 4K 55 inch 55P79B Pro,2024,"Tăng cường chuyển động MEMC 120Hz, HLG, HDR10+, Dolby Vision IQ, Dolby Vision, Dải màu rộng Wide Color Gamut, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Low Blue Light, Công nghệ 120 Hz DLG, Chống xé hình FreeSync Premium Pro",10990000,Google Tivi,55,4k,35,60,Tcl,Việt Nam,24
Smart Tivi Samsung 4K Crystal UHD 50 inch UA50BU8000,2022,"Nâng cấp độ tương phản Contrast Enhancer, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",11900000,Smart Tivi,50,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Khung Tranh The Frame QLED Samsung 4K 50 inch QA50LS03B,2022,"Độ tương phản cao - Mega Contrast, Supreme UHD Dimming, Quantum HDR, Brightness/Color Detection, Adaptive Picture, Tấm nền chống phản chiếu ánh sáng Matte Display, Dual LED, Nâng cấp độ tương phản Contrast Enhancer, Chống xé hình FreeSync Premium Pro, Chuyển động mượt Motion Xcelerator Turbo+, Super Ultra Wide Game View & Game Bar, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ tranh nghệ thuật Art Mode, Chế độ Game Motion Plus",19900000,Tivi Khung Tranh,50,4k,20,60,Samsung,Việt Nam,24
Smart Tivi OLED LG 4K 77 inch 77C3PSA,2023,"Tối ưu hoá hình ảnh chơi game Game Optimizer, Tương phản hoàn hảo Perfect Black, Tăng độ sáng 20% Brightness Booster, HLG, HDR10, HDR Dynamic Tone Mapping Pro, Dolby Vision, Chế độ Self - Lighting OLED, Chế độ nhà làm phim FilmMaker Mode, Nâng cấp hình ảnh AI Super Upscaling 4K, Eye Comfort Display, Công nghệ điểm ảnh Pixel Dimming, Công nghệ AI Genre Selection, Chống xé hình G-Sync, Chống xé hình FreeSync, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ hình ảnh phù hợp nội dung, Chế độ game HGiG",85350000,Smart Tivi OLED,77,4k,40,120,Lg,Indonesia,36
Smart Tivi QNED LG 4K 86 inch 86QNED80SRA,2023,"Đồng bộ khung hình/tần số quét chơi game VRR, Điều chỉnh độ sáng tự động AI Brightness, Vùng sáng độc lập Dimming Precision, HLG, Hiển thị màu rực rỡ Quantum Dot NanoCell Color, HDR10, HDR Dynamic Tone Mapping, Chế độ nhà làm phim FilmMaker Mode, Dải màu rộng QNED Color, Nâng cấp hình ảnh AI Super Upscaling 4K, Nâng cấp hình ảnh AI Picture Pro 4K, Motion Pro, Chống xé hình FreeSync, Tối ưu hoá hình ảnh chơi game Game Optimizer, Tương thích HEVC, Tương thích bộ mã hóa Video decoder (VP9, AV1), Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ hình ảnh phù hợp nội dung, Chế độ game HGiG",60580000,Smart Tivi,86,4k,40,120,Lg,Indonesia,24
Smart Tivi LG 4K 86 inch 86UR8050PSB,2023,"Điều chỉnh độ sáng tự động AI Brightness, HLG, HDR10 Pro, HDR Dynamic Tone Mapping, Chế độ nhà làm phim FilmMaker Mode, Nâng cấp hình ảnh AI Super Upscaling 4K, Nâng cấp hình ảnh AI Picture Pro 4K, Tương thích HEVC, Tương thích bộ mã hóa Video decoder (VP9, AV1), Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ hình ảnh phù hợp nội dung, Chế độ game HGiG",36450000,Smart Tivi,86,4k,20,120,Lg,Indonesia,24
Google Tivi Xiaomi A Pro 4K 65 inch L65M8-A2SEA,2023,"HLG, HDR10, Dolby Vision, Dải màu rộng Wide Color Gamut",13990000,Google Tivi,65,4k,24,60,Xiaomi,Việt Nam,24
Smart Tivi Samsung 32 inch UA32T4300,2020,"Độ tương phản cao - Mega Contrast, HDR, Chế độ hình ảnh tự nhiên Natural Mode, Lọc nhiễu hình ảnh Ultra Clean View, Kiểm soát đèn nền Micro Dimming Pro, Khử nhiễu hình ảnh Digital Clean View, PurColor, Nâng cấp độ tương phản Contrast Enhancer, Hyper Real Engine, Chế độ phim Film mode",6400000,Smart Tivi,32,HD,10,50,Samsung,Việt Nam,12
Smart Tivi Samsung 4K Crystal UHD 65 inch UA65AU8100,2021,"Nâng cấp độ tương phản Contrast Enhancer, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Chuyển động ảnh mượt mà Auto Motion Plus, Chuyển động mượt Motion Xcelerator, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Ambient Mode",13500000,Smart Tivi,65,4k,20,60,Samsung,Việt Nam,24
Smart Tivi Samsung 4K Crystal UHD 75 inch UA75AU8100,2021,"Nâng cấp độ tương phản Contrast Enhancer, HDR10+, Dynamic Crystal Color, Kiểm soát đèn nền UHD Dimming, Chuyển động ảnh mượt mà Auto Motion Plus, Chuyển động mượt Motion Xcelerator Turbo, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Ambient Mode",19900000,Smart Tivi,75,4k,20,60,Samsung,Việt Nam,24
Smart Tivi NanoCell LG 4K 86 inch 86NANO76SQA,2022,"Tương thích HEVC, HLG, HDR10 Pro, HDR Dynamic Tone Mapping, Active HDR, Dải màu rộng Nano Color, Nâng cấp độ phân giải 4K AI Upscaling, Nâng cấp hình ảnh AI Picture Pro 4K, Tương thích bộ mã hóa Video decoder (VP9, AV1), Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ hình ảnh phù hợp nội dung, Chế độ game HGiG",55750000,Smart TV NanoCell,86,4k,20,120,Lg,Indonesia,24
Google Tivi Toshiba 4K 75 inch 75C350LP,2022,"Đồng bộ khung hình/tần số quét chơi game VRR, HDR10, HDR Restoration, Dolby Vision, Công nghệ Ultra Essential PQ, Công nghệ Super Contrast Booster, Công nghệ Color Re-Master Pro, 4K Gradation Correction, 4K Fine Texture Restoration, 4K Brilliance Restoration, Tăng cường chuyển động MEMC, Công nghệ tinh chỉnh thông minh AI Picture Optimizer, Công nghệ Adaptive Dimming, Auto Signal Booster, Auto Clean, 4K Digital Noise Reduction, Nâng cấp hình ảnh AI 4K Upscaling, Picture Optimizer, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), FilmMaker Mode, Công nghệ giảm ánh sáng xanh, bảo vệ mắt iCare Blue",25390000,Google Tivi,75,4k,24,60,Toshiba,Thái Lan,24
Smart Tivi OLED Toshiba 4K 65 inch 65X9900LP,2022,"Tương thích chuẩn IMAX Enhanced, Tương phản hoàn hảo Perfect Black, Tru Color OLED, HDR10+, HDR Restoration, Dolby Vision IQ, Công nghệ Super Contrast Booster, Công nghệ Color Re-Master Pro, Công nghệ AI Ultra Essential PQ, Công nghệ tinh chỉnh thông minh AI Picture Optimizer, Công nghệ điểm ảnh OLED Pixel Dimming, Nâng cấp hình ảnh AI 4K Upscaling, Auto View Pro, Tăng cường chuyển động MEMC 120Hz, Clearer Motion OLED, Chống xé hình FreeSync, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), FilmMaker Mode, Công nghệ giảm ánh sáng xanh, bảo vệ mắt Eye Care OLED",45990000,Smart Tivi OLED,65,4k,113,120,Toshiba,Thái Lan,24
Smart Tivi Neo QLED 8K 85 inch Samsung QA85QN900C,2023,"Super Ultra Wide Game View & Game Bar, Real Depth Enhancer Pro, Quantum Mini LED, Quantum Dot hiển thị 100% dải màu, Neo Quantum HDR 8K Pro, Màu sắc chuẩn chứng nhận PANTONE, AI HDR Remastering, Cân chỉnh màu sắc Smart Calibration Pro, Công nghệ kiểm soát đèn nền Ultimate 8K Dimming Pro, Công nghệ kiểm soát đèn nền Quantum Matrix Technology Pro 14 bit, Chống chói Anti Reflection, Chống xé hình FreeSync Premium Pro, Chuyển động mượt Motion Xcelerator Turbo+, Góc nhìn siêu rộng Ultra Viewing Angle, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, Chế độ Game Motion Plus, Ambient Mode+",219900000,Smart Tivi Neo QLED,85,8k,90,120,Samsung,Việt Nam,24
Smart Tivi Neo QLED 4K 75 inch Samsung QA75QN85C,2023,"Supreme UHD Dimming, Real Depth Enhancer, Quantum Mini LED, Màu sắc chuẩn chứng nhận PANTONE, Brightness/Color Detection, AI HDR Remastering, Neo Quantum HDR, Công nghệ kiểm soát đèn nền Quantum Matrix, Chống xé hình FreeSync Premium Pro, Chuyển động mượt Motion Xcelerator Turbo+, Super Ultra Wide Game View & Game Bar, Góc nhìn rộng Wide Viewing Angle, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, Chế độ Game Motion Plus, Ambient Mode+",76900000,Smart Tivi Neo QLED,75,4k,60,120,Samsung,Việt Nam,24
Smart Tivi Neo QLED 4K 55 inch Samsung QA55QN85C,2023,"Supreme UHD Dimming, Real Depth Enhancer, Quantum Mini LED, Màu sắc chuẩn chứng nhận PANTONE, Brightness/Color Detection, AI HDR Remastering, Neo Quantum HDR+, Công nghệ kiểm soát đèn nền Quantum Matrix, Chống xé hình FreeSync Premium Pro, Chuyển động mượt Motion Xcelerator Turbo+, Super Ultra Wide Game View & Game Bar, Góc nhìn rộng Wide Viewing Angle, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Căn chỉnh hình ảnh tự động bảo vệ mắt EyeComfort, Chế độ Game Motion Plus, Ambient Mode+",35900000,Smart Tivi Neo QLED,55,4k,60,120,Samsung,Việt Nam,24
Google Tivi Sony 4K 75 inch KD-75X80L,2023,"Tăng cường màu sắc Triluminos Pro, HLG, HDR10, Dolby Vision, Nâng cấp hình ảnh 4K X-Reality PRO, Tinh năng Game Menu, Làm mượt chuyển động XR Motion Clarity, Chuyển động mượt Motionflow XR 200, Giảm độ trễ chơi game Auto Low Latency Mode (ALLM)",33390000,Google Tivi,75,4k,20,60,Sony,Malaysia,24
Smart Tivi LG 4K 75 inch 75UR9050PSK,2023,"Tương thích HEVC, HLG, HDR10 Pro, HDR Dynamic Tone Mapping, Chế độ nhà làm phim FilmMaker Mode, Kiểm soát đèn nền - Local Dimming, Nâng cấp độ phân giải 4K AI Upscaling, Tương thích bộ mã hóa Video decoder (VP9, AV1), Giảm độ trễ chơi game Auto Low Latency Mode (ALLM), Chế độ hình ảnh phù hợp nội dung, Chế độ game HGiG",29310000,Smart Tivi,75,4k,20,60,Lg,Indonesia,24
